OBJECTID,BLOCKID,ROWNBR,BLOCK_ST,BLOCK_END,WIDTH_OFFS,GEOBASYS,SPACELENGT,SPACETYPE,SPACETYPED,TIME_LIMIT,SPACE_NB,CATEGORY,SIDE,CURRENT_ST,ELMNTKEY,SHAPE_Leng
1963,25-01,,153.500000000000000,170.000000000000000,21,,16,ALLEY,ALLEY,,-10,NS,NW,INSVC,13345,16.454912148463343
1992,04-26,,232.500000000000000,249.000000000000000,-32,,16,PS,PAY STATION,240,-18,PAID,NE,INSVC,6198,16.499344428832554
1994,26-03,,262.500000000000000,282.500000000000000,-30,,20,CLR,CLEARANCE,,-37/39,NP,SE,INSVC,81290,19.992067981137133
2009,25-01,,150.000000000000000,175.000000000000000,-21,,25,ALLEY,ALLEY,,-11,NS,SE,INSVC,13346,24.931739369936331
2039,26-01,,130.000000000000000,149.000000000000000,24,,19,PLZ,PASSENGER LOAD ZONE,3,-08,ZONE,NW,INSVC,58617,18.943960503773404
2098,01-24,,75.000000000000000,94.000000000000000,30,,19,PS,PAY STATION,240,-05,PAID,SW,INSVC,1025,18.980662905390037
2099,26-01,,217.000000000000000,235.000000000000000,24,,18,PS,PAY STATION,240,-16,PAID,NW,INSVC,58617,17.946940977633975
2146,01-24,,22.000000000000000,34.000000000000000,30,,12,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,SW,INSVC,1025,11.987775310886892
2163,04-26,,26.000000000000000,31.000000000000000,30,,5,CLR,CLEARANCE,,,NP,SW,INSVC,6197,4.999846741311370
2179,04-26,,81.500000000000000,87.500000000000000,30,,6,CLR,CLEARANCE,,,NP,SW,INSVC,6197,5.999789393743124
2219,04-26,,105.000000000000000,111.000000000000000,-32,,6,CLR,CLEARANCE,,,NP,NE,INSVC,6198,5.999789403768818
2221,26-03,,188.500000000000000,200.500000000000000,-30,,12,PS,PAY STATION,240,-25,PAID,SE,INSVC,81290,11.995295044445969
2236,25-01,,86.000000000000000,104.000000000000000,-21,,18,PS,PAY STATION,240,-05,PAID,SE,INSVC,13346,17.950854727001094
2264,01-24,,78.000000000000000,96.000000000000000,-27,,18,PS,PAY STATION,240,-04,PAID,NE,INSVC,1026,17.981688769840151
2265,26-01,,215.500000000000000,222.500000000000000,-24,,7,CLR,CLEARANCE,,,NP,SE,INSVC,58618,6.979360424713265
2307,25-01,,277.500000000000000,293.000000000000000,-21,,16,XW,CROSSWALK,,,NS,SE,INSVC,13346,15.457664460719775
2309,01-23,,397.500000000000000,410.000000000000000,-28,,12,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,NE,INSVC,24042,12.472325355198780
2340,04-26,,187.000000000000000,193.000000000000000,-32,,6,CLR,CLEARANCE,,,NP,NE,INSVC,6198,5.999789414792885
2381,01-23,,339.500000000000000,345.500000000000000,29,,6,CLR,CLEARANCE,,,NP,SW,INSVC,24041,5.986676793802332
2415,04-26,,147.000000000000000,153.000000000000000,-32,,6,CLR,CLEARANCE,,,NP,NE,INSVC,6198,5.999746333573325
2430,25-01,,233.500000000000000,240.500000000000000,21,,7,CLR,CLEARANCE,,,NP,NW,INSVC,13345,6.980884621950616
2459,01-24,,96.000000000000000,114.000000000000000,-27,,18,PS,PAY STATION,240,-06,PAID,NE,INSVC,1026,17.981684518245068
2460,26-01,,129.000000000000000,147.000000000000000,-24,,18,PS,PAY STATION,240,-09,PAID,SE,INSVC,58618,17.946897939443534
2547,25-01,,222.000000000000000,239.000000000000000,-21,,17,PS,PAY STATION,240,-17,PAID,SE,INSVC,13346,16.953564014660873
2581,26-03,,45.000000000000000,61.000000000000000,-30,,16,BA,BARRIER AREA,,-01,NS,SE,INSVC,81290,15.993679347600816
2596,25-01,,198.000000000000000,216.000000000000000,-21,,18,PS,PAY STATION,,-15,PAID,SE,INSVC,13346,17.950859085072540
2625,01-24,,267.000000000000000,277.000000000000000,30,,10,CR,CURB RAMP,,,NS,SW,INSVC,1025,9.989775451838144
2626,26-03,,73.000000000000000,85.000000000000000,-30,,12,PS,PAY STATION,240,-05,PAID,SE,INSVC,81290,11.995247680171252
2673,26-01,,26.000000000000000,42.000000000000000,-24,,16,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,SE,INSVC,58618,15.952854587008202
2687,01-24,,277.000000000000000,285.500000000000000,30,,8,XW,CROSSWALK,,,NS,SW,INSVC,1025,8.491400402278789
2688,26-01,,235.000000000000000,254.000000000000000,24,,19,PS,PAY STATION,240,-18,PAID,NW,INSVC,58617,18.943960503773404
2746,04-26,,210.500000000000000,228.500000000000000,30,,18,PS,PAY STATION,240,-17,PAID,SW,INSVC,6197,17.999372479494628
2774,25-01,,25.000000000000000,29.000000000000000,21,,4,CLR,CLEARANCE,,,NP,NW,INSVC,13345,3.989089841171343
2792,26-03,,27.000000000000000,35.000000000000000,-30,,8,CRBBLB,CURB BULB,,,NS,SE,INSVC,81290,7.996863365971855
2804,04-26,,41.000000000000000,46.000000000000000,-32,,5,HYD,HYDRANT,,,NS,NE,INSVC,6198,4.999803681097419
2806,26-03,,177.000000000000000,184.000000000000000,25,,7,CLR,CLEARANCE,,,NP,NW,INSVC,81289,6.997234977872220
2850,01-24,,174.000000000000000,192.000000000000000,-27,,18,PS,PAY STATION,240,-12,PAID,NE,INSVC,1026,17.981641433511918
2851,26-01,,180.500000000000000,198.500000000000000,-24,,18,PS,PAY STATION,240,-13,PAID,SE,INSVC,58618,17.946940987654525
2898,01-24,,121.500000000000000,140.500000000000000,30,,19,PS,PAY STATION,240,-09,PAID,SW,INSVC,1025,18.980619831725555
2930,04-26,,104.500000000000000,110.500000000000000,30,,6,CLR,CLEARANCE,,,NP,SW,INSVC,6197,5.999746333573325
2942,25-01,,281.500000000000000,291.500000000000000,21,,10,XW,CROSSWALK,,,NS,NW,INSVC,13345,9.972679403739793
2976,04-26,,26.000000000000000,41.000000000000000,-32,,15,XW,CROSSWALK,,,NS,NE,INSVC,6198,14.999454124406503
3004,25-01,,86.500000000000000,104.500000000000000,21,,18,PS,PAY STATION,240,-04,PAID,NW,INSVC,13345,17.950811702281133
3006,01-23,,318.500000000000000,336.500000000000000,-28,,18,PS,PAY STATION,240,-28,PAID,NE,INSVC,24042,17.960069066515985
3035,26-03,,293.000000000000000,298.000000000000000,-30,,5,CLR,CLEARANCE,,,NP,SE,INSVC,81290,4.998016989771671
3050,25-01,,27.500000000000000,31.000000000000000,-21,,4,CLR,CLEARANCE,,,NP,SE,INSVC,13346,3.490442310975308
3081,26-01,,173.500000000000000,175.000000000000000,24,,2,CLR,CLEARANCE,,,NP,NW,INSVC,58617,1.495576638712988
3127,01-23,,379.500000000000000,385.500000000000000,29,,6,CLR,CLEARANCE,,,NP,SW,INSVC,24041,5.986629414405100
3160,04-26,,252.500000000000000,265.500000000000000,30,,13,CRBBLB,CURB BULB,,,NS,SW,INSVC,6197,12.999478410764619
3174,25-01,,199.000000000000000,216.000000000000000,21,,17,PS,PAY STATION,240,-14,PAID,NW,INSVC,13345,16.953607049287342
3176,01-23,,354.500000000000000,379.500000000000000,-28,,25,PLZ,PASSENGER LOAD ZONE,3,-32,ZONE,NE,INSVC,24042,24.944592032925208
3201,04-26,,279.000000000000000,285.000000000000000,-32,,6,CLR,CLEARANCE,,,NP,NE,INSVC,6198,5.999789403768818
3202,01-24,,285.500000000000000,288.000000000000000,30,,2,CLR,CLEARANCE,,,NP,SW,INSVC,1025,2.497443868718273
3203,26-01,,42.000000000000000,61.000000000000000,24,,19,PS-PLZ,PAY STATION - PLZ,240,-00,PAID,NW,INSVC,58617,18.943960504781600
3218,25-01,,41.000000000000000,68.000000000000000,-21,,27,CRBBLB,CURB BULB,,-01,NS,SE,INSVC,13346,26.926286453002156
3245,01-23,,362.500000000000000,379.500000000000000,29,,17,PS,PAY STATION,240,-31,PAID,SW,INSVC,24041,16.962313299383084
3266,04-26,,129.000000000000000,147.000000000000000,-32,,18,PS,PAY STATION,240,-08,PAID,NE,INSVC,6198,17.999372500544386
3268,26-03,,227.500000000000000,247.000000000000000,25,,20,PS-CAR,PAY STATION - CARPOOL,240,-16,CARPOOL,NW,INSVC,81289,19.492296863475300
3312,01-24,,167.500000000000000,267.000000000000000,30,,100,BUS,BUS ZONE,,-13/21,BUS,SW,INSVC,1025,99.398719463629490
3313,26-01,,26.000000000000000,42.000000000000000,24,,16,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,NW,INSVC,58617,15.952854597028779
3357,01-23,,385.500000000000000,402.500000000000000,29,,17,PS,PAY STATION,240,-33,PAID,SW,INSVC,24041,16.961979748183349
3375,26-03,,289.500000000000000,294.500000000000000,25,,5,CLR,CLEARANCE,,,NP,NW,INSVC,81289,4.998016989771671
3390,04-26,,46.000000000000000,63.000000000000000,-32,,17,PS,PAY STATION,240,-00,PAID,NE,INSVC,6198,16.999429837050865
3406,25-01,,122.500000000000000,130.500000000000000,21,,8,CLR,CLEARANCE,,,NP,NW,INSVC,13345,7.978179670303327
3435,01-24,,144.000000000000000,166.000000000000000,-27,,22,PLZ,PASSENGER LOAD ZONE,3,-10,ZONE,NE,INSVC,1026,21.977598109031902
3436,26-01,,149.000000000000000,150.000000000000000,24,,1,CLR,CLEARANCE,,,NP,NW,INSVC,58617,0.997066875448595
3479,01-23,,345.500000000000000,362.500000000000000,29,,17,PS,PAY STATION,240,-29,PAID,SW,INSVC,24041,16.962356304768690
3480,26-01,,104.000000000000000,122.000000000000000,-24,,18,PS,PAY STATION,240,-07,PAID,SE,INSVC,58618,17.946940987654525
3522,25-01,,29.000000000000000,39.000000000000000,21,,10,XW,CROSSWALK,,,NS,NW,INSVC,13345,9.972679392710265
3540,26-03,,131.000000000000000,148.000000000000000,25,,17,PS-CAR,PAY STATION - CARPOOL,240,-08,CARPOOL,NW,INSVC,81289,16.993264690967052
3554,26-03,,212.500000000000000,224.500000000000000,-30,,12,PS,PAY STATION,240,-29,PAID,SE,INSVC,81290,11.995295044445969
3585,25-01,,148.500000000000000,153.500000000000000,21,,5,CLR,CLEARANCE,,,NP,NW,INSVC,13345,4.986384899543945
3618,04-26,,249.000000000000000,264.000000000000000,-32,,15,TAZ,TOW AWAY ZONE,,-20,NP,NE,INSVC,6198,14.999454113382390
3620,26-03,,22.000000000000000,49.000000000000000,25,,27,CLR,CLEARANCE,,,NP,NW,INSVC,81289,26.989346035811277
3664,01-24,,235.000000000000000,253.000000000000000,-27,,18,PS,PAY STATION,240,-18,PAID,NE,INSVC,1026,17.981641444533171
3665,26-03,,109.000000000000000,121.000000000000000,-30,,12,PS,PAY STATION,240,-11,PAID,SE,INSVC,81290,11.995247680171252
3709,01-24,,94.000000000000000,101.500000000000000,30,,8,CLR,CLEARANCE,,,NP,SW,INSVC,1025,7.492331594141118
3710,26-01,,60.000000000000000,78.000000000000000,-24,,18,PS,PAY STATION,240,-03,PAID,SE,INSVC,58618,17.946893619244488
3727,26-03,,278.500000000000000,289.500000000000000,25,,11,XW,CROSSWALK,,,NS,NW,INSVC,81289,10.995666677340399
3753,25-01,,293.000000000000000,305.000000000000000,-21,,12,CLR,CLEARANCE,,,NP,SE,INSVC,13346,11.967269522504193
3771,26-03,,200.500000000000000,212.500000000000000,-30,,12,PS,PAY STATION,240,-27,PAID,SE,INSVC,81290,11.995204625190009
3785,26-03,,89.500000000000000,107.500000000000000,25,,18,PS-CAR,PAY STATION - CARPOOL,240,-04,CARPOOL,NW,INSVC,81289,17.992850003259925
3830,01-24,,192.000000000000000,210.000000000000000,-27,,18,PS,PAY STATION,240,-14,PAID,NE,INSVC,1026,17.981684508216251
3831,26-01,,256.500000000000000,279.000000000000000,-24,,22,CRBBLB,CURB BULB,,-21,NS,SE,INSVC,58618,22.433619181329618
3870,25-01,,216.000000000000000,222.000000000000000,-21,,6,CLR,CLEARANCE,,,NP,SE,INSVC,13346,5.983632587288595
3900,26-01,,87.000000000000000,105.000000000000000,24,,18,PS,PAY STATION,240,-04,PAID,NW,INSVC,58617,17.946893619244488
3946,01-24,,148.500000000000000,167.500000000000000,30,,19,PLZ,PASSENGER LOAD ZONE,3,-11,ZONE,SW,INSVC,1025,18.980662905390037
3947,26-01,,78.000000000000000,85.000000000000000,-24,,7,CLR,CLEARANCE,,,NP,SE,INSVC,58618,6.979364754695839
3963,04-26,,64.500000000000000,81.500000000000000,30,,17,PS,PAY STATION,240,-03,PAID,SW,INSVC,6197,16.999339418320577
3990,25-01,,104.500000000000000,122.500000000000000,21,,18,PS,PAY STATION,240,-06,PAID,NW,INSVC,13345,17.950854738030571
4021,26-03,,64.000000000000000,83.500000000000000,25,,20,PS-CAR,PAY STATION - CARPOOL,240,-02,CARPOOL,NW,INSVC,81289,19.492296873499740
4066,26-01,,173.000000000000000,180.500000000000000,-24,,8,CLR,CLEARANCE,,,NP,SE,INSVC,58618,7.477874518264225
4110,01-23,,402.500000000000000,419.500000000000000,29,,17,PS-TAX,PAY STATION - TAXI,240,-35,PAID,SW,INSVC,24041,16.962331920681027
4127,04-26,,45.500000000000000,47.500000000000000,30,,2,CR,CURB RAMP,,,NS,SW,INSVC,6197,1.999928365461957
4143,04-26,,17.000000000000000,26.000000000000000,-32,,9,CLR,CLEARANCE,,,NP,NE,INSVC,6198,8.999664709719037
4193,04-26,,186.500000000000000,192.500000000000000,30,,6,CLR,CLEARANCE,,,NP,SW,INSVC,6197,5.999836742266837
4195,26-03,,265.000000000000000,278.000000000000000,25,,13,TAZ,TOW AWAY ZONE,,-20,NP,NW,INSVC,81289,12.994833002484480
4209,04-26,,110.500000000000000,127.500000000000000,30,,17,PS,PAY STATION,240,-07,PAID,SW,INSVC,6197,16.999382488529061
4222,25-01,,60.000000000000000,78.500000000000000,21,,18,PS,PAY STATION,240,-02,PAID,NW,INSVC,13345,18.449459242496847
4250,04-26,,210.000000000000000,226.500000000000000,-32,,16,PS,PAY STATION,240,-16,PAID,NE,INSVC,6198,16.499344417808448
4252,26-03,,220.500000000000000,227.500000000000000,25,,7,CLR,CLEARANCE,,,NP,NW,INSVC,81289,6.997230679436403
4295,01-24,,217.000000000000000,235.000000000000000,-27,,18,PS,PAY STATION,240,-16,PAID,NE,INSVC,1026,17.981731833409896
4296,26-01,,210.000000000000000,217.000000000000000,24,,7,CLR,CLEARANCE,,,NP,NW,INSVC,58617,6.979317386195776
4355,04-26,,228.500000000000000,234.500000000000000,30,,6,CLR,CLEARANCE,,,NP,SW,INSVC,6197,5.999746343598932
4372,04-26,,226.500000000000000,232.500000000000000,-32,,6,CLR,CLEARANCE,,,NP,NE,INSVC,6198,5.999836752292452
4417,01-24,,22.000000000000000,34.500000000000000,-27,,12,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,NE,INSVC,1026,12.487262404342717
4418,26-01,,105.000000000000000,123.000000000000000,24,,18,PS,PAY STATION,240,-06,PAID,NW,INSVC,58617,17.946940977633975
4454,25-01,,192.000000000000000,199.000000000000000,21,,7,CLR,CLEARANCE,,,NP,NW,INSVC,13345,6.980884611930928
4483,01-24,,277.000000000000000,286.500000000000000,-27,,10,XW,CROSSWALK,,,NS,NE,INSVC,1026,9.490331442169998
4484,26-01,,123.000000000000000,130.000000000000000,24,,7,CLR,CLEARANCE,,,NP,NW,INSVC,58617,6.979317386195776
4571,25-01,,78.500000000000000,86.500000000000000,21,,8,CLR,CLEARANCE,,,NP,NW,INSVC,13345,7.978179681332851
4606,26-03,,125.000000000000000,131.000000000000000,25,,6,CLR,CLEARANCE,,,NP,NW,INSVC,81289,5.997602313095406
4621,25-01,,68.000000000000000,86.000000000000000,-21,,18,PS,PAY STATION,240,-03,PAID,SE,INSVC,13346,17.950811713310632
4651,01-24,,70.500000000000000,78.000000000000000,-27,,8,CLR,CLEARANCE,,,NP,NE,INSVC,1026,7.492331584112325
4652,26-03,,85.000000000000000,97.000000000000000,-30,,12,PS,PAY STATION,240,-07,PAID,SE,INSVC,81290,11.995204636215233
4713,04-26,,265.500000000000000,280.500000000000000,30,,15,XW,CROSSWALK,,,NS,SW,INSVC,6197,14.999454103356745
4742,25-01,,130.500000000000000,148.500000000000000,21,,18,PS,PAY STATION,240,-08,PAID,NW,INSVC,13345,17.950811703290920
4744,01-23,,336.500000000000000,354.500000000000000,-28,,18,PS-PLZ,PAY STATION - PLZ,240,-30,PAID,NE,INSVC,24042,17.960112082967861
4760,01-23,,263.500000000000000,306.000000000000000,29,,42,CVLZ-P,CVLZ - PLZ,30,-21T/23,LOAD,SW,INSVC,24041,42.405738019080353
4761,26-01,,147.000000000000000,151.000000000000000,-24,,4,CLR,CLEARANCE,,,NP,SE,INSVC,58618,3.988211478759340
4775,04-26,,150.500000000000000,186.500000000000000,30,,36,PLZ,PASSENGER LOAD ZONE,3,-11/13,ZONE,SW,INSVC,6197,35.998654570336505
4803,25-01,,41.500000000000000,60.000000000000000,21,,18,PS,PAY STATION,240,-00,PAID,NW,INSVC,13345,18.449502267213589
4805,01-23,,312.500000000000000,318.500000000000000,-28,,6,CLR,CLEARANCE,,,NP,NE,INSVC,24042,5.986719831064863
